transcript,labels
We're working to a very tight deadline.,Deadline
The deadline for submitting college applications is April 19th.,Deadline
We had to hurry to meet the deadline. ,Deadline
The deadline is next Monday.,Deadline
We're going to have to work hard in order to complete this job for the deadline of 5:00 this evening.,Deadline
The deadline for handing in our essays is 3:00 tomorrow.,Deadline
Only seven minutes remained before the expiry of the noon deadline.,Deadline
They have extended the deadline by twenty-four hours.,Deadline
They were trying to beat the midnight deadline.,Deadline
The team worked feverishly to the November deadline.,Deadline
The deadline for applications is May 27th.,Deadline
The deadline is next Monday.,Deadline
They've set a deadline of Nov 5.,Deadline
The deadline for entries is noon Thursday.,Deadline
I must get this report finished by tomorrow's deadline.,Deadline
Tom didn't know the deadline was today,Deadline
The deadline for the reports is next Monday. ,Deadline
Can we extend the deadline by two weeks? ,Deadline
We have less than two hours until the deadline.,Deadline
The new final deadline is at 7 o'clock on June 10th. ,Deadline
The deadline for handing in our essays is 3:00 tomorrow.,Deadline
We're going to have to work hard in order to complete this job for the deadline of 5:00 this evening.,Deadline
"The terrorists have set a deadline of midnight for payment of the ransom, or they will start killing the hostages.",Deadline
Paul has been given a deadline of March 11th to finish the report.,Deadline
The team were given a deadline of New Year's day to pull out of project release.,Deadline
"We've run into a few problems, and it's going to be impossible to meet the 5:00 deadline.",Deadline
The deadline for contributions to the school newspaper is tomorrow at noon.,Deadline
"Deadline - The contest begins now and ends midnight, February 28th.",Deadline
"Many sites have a deadline for holiday shipping, which typically ranges from December 10 to December 17.",Deadline
"The contest period for the Party Cruise began in mid-March and ends September 3, which is the registration deadline for all invited passengers.",Deadline
Within three weeks of the application deadline semi-finalists are notified and personal interviews are complete.,Deadline
"Subsequently, the Worker, Homeownership and Business Act (WHBA) of 2009 extended the deadline to May 1, 2010.",Deadline
"This new deadline only required that the taxpayer have entered into a contract by that date, but also required that they close on the property no later than July 1, 2010.",Deadline
"In 2011, the filing deadline is midnight on April 18th, giving taxpayers an additional 72 hours to complete and file their 2010 returns.",Deadline
The deadline for submitting complete applications is 1 March 2002.,Deadline
Thursday 2nd March 2006 Meeting a self-imposed deadline could give you a headache.,Deadline
you need to send in your job application by Friday at 3:00. ,Deadline
"There is no deadline for the project, but we hope to have it complete by Tuesday. ",Deadline
There is only a short window to enter the contest since the deadline is next this Friday afternoon.,Deadline
"The deadline for returning the questionnaire is Saturday, August 15 and results of the survey will be available online",Deadline
The deadline for Hotelier Middle East Awards 2015 nominations is just six weeks away and submissions are flooding in.,Deadline
Jan 1 is the deadline for ratification by member.,Deadline
He later pushed back that deadline to 3 p . m.,Deadline
The deadline to apply for the program is Nov . 15.,Deadline
Starks signed just before a 5 p . m . deadline.,Deadline
Wednesday was the deadline for the management to make that request.,Deadline
the Board came up with a deadline as Next Monday for submission.,Deadline
We have set a deadline of May 24 to resolve this,Deadline
Mitsubishi set May 11 as the deadline for reaching a settlement.,Deadline
"The deadline to revoke tendered shares is noon, May 30.",Deadline
The deadline to revoke tendered shares is noon on May 30.,Deadline
The deadline to revoke tendered shares is noon the following day.,Deadline
Both sides said Tuesday that they expected to meet that deadline.,Deadline
Trail Blazer's deadline for completing its plan was Wednesday.,Deadline
"The original deadline was Tuesday, India's Independence Day, and so we have scheduled to next day.",Deadline
The team was given  a deadline of Aug . 7 to close the issue on this userstory.,Deadline
Fill all the timesheets on and before 12 PM Monday morning,Deadline
"10X engagement team had asked all employee details to be filled by 30 September to cary out the planned activities, they need employee details.",Deadline
See that  compliance training is finished by this noon.,Deadline
All associates have to enrol for learning management training session conducted by legato on or before 30 september.,Deadline
"Since it is a Month end Closure, All the pending Timesheets submission / Approval to be closed by Today EOD .",Deadline
Can we request all the Resource Managers to Approve their Time sheets in next 2 hours please.,Deadline
"August 20th is the timesheet deadline for Financial month end, so all the associates (FTE/Contractor/Sub contractor) time sheets needs to be submitted/approved on or before August 20th.",Deadline
"Complete & submit the August 14 to August 20 by End of Day (EOD), Friday, August 20.  No time will need to be estimated.",Deadline
"Enrol and complete the HIPAA Compliance session conducted by James Griffin, Compliance Director, CPO-Policy and Projects by July 28,2021",Deadline
we submit our Weekly Timesheets by Friday before EOD. ,Deadline
Please submit your this weeks timesheets asap as today it month end closure.,Deadline
Please positively submit all your Pending Timesheets before today EOD.,Deadline
Reminder - Accelerate to Close (ATC) time entry deadline for July - deadline for time entry is Thursday July 22.,Deadline
"Complete & submit the July 17 t july 23 by End of Day (EOD), Thursday, July 22.  Time will be estimated for Friday july 23.",Deadline
It seems more that 50 associates in our group haven t submitted timesheet in SNOW yet. 18th June is the last date. Please ensure you fill it up on time.,Deadline
"who either fail to submit their details or opt to deactivate their SIM cards will find the same deactivated by 15 March, 2021.",Deadline
Deadline to submit the timesheet/any back dated correction for the month is 18th June 2021 for June books closing.,Deadline
"All associates possessing company assets assigned to them, have to login to the InSync BCP tool and update details they possess by no later than 12 March, 2021. ",Deadline
Here's a gentle reminder to complete the linking of your PAN card with the Aadhaar card before the deadline to avoid your PAN being declared as inoperative.,Deadline
This is a reminder for everyone that all APM timesheets through December31 are due by EOD on December17. ,Deadline
APM is shutting down on  December31  and 2020 APM timesheets will no longer be available.,Deadline
PLEASE!!!! Don t miss the December17 deadline for submitting ALL timesheets through  December31 .   ,Deadline
"December AtC is December19   all timesheets are due on December17, 2020.  ",Deadline
Today is also the deadline to complete the annual  Harassment Free Workplace  training,Deadline
"You must complete before your due date next week, so you won't be past due. Your manager is also being notified that your deadline is approaching.",Deadline
You are nearing the deadline for one or more required learning assignments in the Learning Management System (LMS).,Deadline
I am terribly busy because the report deadline is near. ,Deadline
She began to panic as the deadline approached.,Deadline
They worked feverishly to meet the deadline.,Deadline
I''m working to a very tight deadline .,Deadline
We were still right on target for our deadline.,Deadline
This deadline will be extended only in exceptional circumstances.,Deadline
"The deadline falls in the middle of May, and late submissions are accepted until the beginning of June.",Deadline
The project was completed a week past its deadline. ,None
We were not able to meet the deadline because of manufacturing delays.,None
I hope that a study of very long sentences will arm you with strategies that are almost as diverse as the sentences themselves,None
"Sounds fun, but I m not available.",None
His abstract submission met the deadline.,None
What if I could help you meet your deadline?,None
He also set a deadline for his political appointees to place their assets into trust.,None
Each piece of coursework has a strict deadline which must be adhered to.,None
Very few excuses persuade funders to allow you to miss a deadline.,None
I felt happy because I saw the others were happy,None
"Register in plenty of time to avoid a last minute rush to meet, or avoid missing, the Return filing deadline",None
Deadline to design a masthead for is the next EASF meeting in Norwich (date tba ).,None
The deadline for filing a reclaim is called the ' statute of limitation ,None
"Hatred was spreading everywhere, blood was being spilled everywhere, wars were breaking out everywhere.",None
This allows for card holders not have to worry about missing a deadline.,None
A cardholder or borrower's riskiness increases with a missed payment deadline,None
"The ham, green beans, mashed potatoes, and corn are gluten-free.",None
You can also start anytime you are ready because there is no enrollment deadline.,None
Turn your completed plan in before or on the deadline date so you will avoid a rejection.,None
The paper and pencil sat idle on the desk.,None
His boss called him to account for failing to meet the deadline.,None
Joe stood up and spoke to the crowd.,None
Management have agreed to extend the deadline.,None
"I quickly put on my red winter jacket, black snow pants, waterproof boots, homemade mittens, and handknit scarf.",None
The idea behind this format comes from trying to design a newspaper on deadline.,None
"From there, make a plan of how you will accomplish this task and give yourself a deadline.",None
"Nervously, I unfolded the wrinkled and stained letter from my long-dead ancestor.",None
"However, the extension does not waive the deadline to pay taxes.",None
The deadline for filing and paying taxes changes each year.,None
"""I was the more deceived."" Ophelia in Hamlet by William Shakespeare",None
You won't have to worry about forgetting to do something or missing out on a deadline.,None
I was a little surprised at the invitation.,None
"You won't be able to meet your deadline if you don't stop fooling around, and get busy.",None
I'm going to ask my boss to give me some extra time to work on this because it's just impossible to meet the deadline he has set.,None
He was let go because he was constantly missing deadlines.,None
"When you're on a tight deadline, you've got to learn to work smarter, not harder.",None
Please email me or leave a comment on the article asking your question and asking for an extension if it is at deadline.,None
"Pushing to meet the latest deadline, the editor worked late into the night on the story.",None
I have never missed a deadline.,None
I'm surprised the clothing store was open.,None
"""You look more horrified than surprised,"" she said.",None
I'm killing myself to meet the deadline.,None
She began to panic as the deadline approached.,None
They worked feverishly to meet the deadline.,None
I''m working to a very tight deadline .,None
We were still right on target for our deadline.,None
This deadline will be extended only in exceptional circumstances.,None
The king's soldiers were surprised to find everybody awake along the road.,None
The deadline had to be extended. ,None
She was just surprised by what was in the envelope.,None
Tom has missed three deadlines in a row.,None
She took great pains to get the job done before the deadline. ,None
"With his mother very sick and a tight deadline at work, Tom has a lot on his plate at the moment. ",None
As a child he was clever and delicate.,None
You can't do this alone and still meet the deadline.,None
The clever cost savings idea of sleeping in the car didn't sound so safe right now.,None
It's difficult to see deadline in a sentence .,None
They noted that the council faces no specific deadline for action.,None
"He knew that all the intellectual lights of Petersburg were gathered there and, like a child in a toyshop, did not know which way to look, afraid of missing any clever conversation that was to be heard.",None
She never missed a deadline for The Observer in 15 years.,None
I can get there a lot faster by plane.,None
The deadlines haven't been met since the airport opened.,None
And the deadline is expected to be missed again this year.,None
She easily reached both goals before her self-imposed deadline.,None
"I m not really into it, but thanks for asking!",None
I believe we can do it and still meet the deadline.,None
"He'd heal four times faster than a normal human, but it wasn't fast enough.",None
I told you the whole incident from the very beginning. Did you understand me? ,None
"I am very pleased to meet you, can I please have your phone number?",None
I know that a goal without a deadline is just a wish.,None
The application deadline expired only a few weeks ago.,None
"Exactly, he repeated, and it is only six o clock in the morning local time in England, so I am well within the deadline.",None
"According to his watch, which he had kept on Essex time, he had six hours to spare before the mid-day ends",None
The application deadline expired only a few weeks ago,None
They were just in time to meet the deadline for publication.,None
"We were in new surroundings, but this too had a small pathway.",None
He could only hope the perpetrators were lying about the deadline,None
"Finally, the deadline agreed upon by all concerned is written in the When column.",None
"As much as she would like to have offered to walk while he rode, she knew they would cover ground faster if she rode and he walked.",None
There was an hour to deadline; and no major emergencies.,None
"He scattered the burning tobacco, smashed the pipe, and threw it away.",None
She turned her head so that he would not see the tears burning her eyes.,None
"The words echoed in her head, and she walked blindly for several moments, until the cold burning her lungs made her stop.",None
He was going to call the doctor.,None
"If you need anything, be sure to call me.",None
Then I will drag it out of the bushes and call mamma to come and see it.,None
"She didn't try to test the portals, fearing they wouldn't work.",None
"We conveyed the meager information to a national tip line, fearing it might be too little too late.",None
"Not fearing for my life is a total turn on, she retorted.",None
"When the usurper was in turn driven out by a Cyprian noble, Evagoras, fearing that his life was in danger, fled to Cilicia.",None
"Fearing lest victory, even if won, might be purchased too dearly, the Highlanders gradually withdrew.",None
He dumped the rest of his coffee in the sink and left the room.,None
I'll be fine after we rest for a little bit.,None
Do you think Jonathan might feel left out when the new baby comes?,None
There was no reason to feel threatened.,None
"Be this as it may, I know that I can feel the heart-throbs of the ancient Greeks in their marble gods and goddesses.",None
I love that you are so caring and wear your heart on your sleeve.,None
She'd been ignoring Kevin's calls for two days without caring he was the only person who could help her put food on the table.,None
She thinks she is some kind of vicious animal.,None
Subsequently this vicious principle was extended still further.,None
"As the issue could not be solved by the associate, it is being escalated to the reporting manager.",Escalation
Agents who encountered a different sort of complainant. So he escalated the call to their nearest team leader without delay.,Escalation
"As everything else failed, we had to escalate the call.",Escalation
Some problems can be solved by level one support. But this problem require escalation to level two or level three support.,Escalation
The agent can now begin the process of escalating the customer support ticket to the next person in line. ,Escalation
You have already tried different strategies to fix the issue or contain the risk but to no avail. This issue have to get reported to  management for solution.,Escalation
our software project got into trouble because the software continuously failed to work on our servers.We need to escalate this to network department.,Escalation
They have an issue and it hasn't got solved as efficiently or quickly as it should have been and now they are expecting your business to respond before you take up more of their time. Why don t we escalate this to delivery manager to handle.,Escalation
I don't think we'll make the deadline. Why don t we escalate the status to  concern for planning.,Escalation
"You must complete before your due date next week, so you won't be past due. Your manager is also being notified that your deadline is approaching.",Escalation
"Email is a mission-critical system at your company, if the Tier 1 engineer cannot quickly fix the problem, now it is reached to Information Technology escalation process to solve.",Escalation
"Hey, we got a problem here that your team is responsible for. You're the boss, so please do something about it so that the project can continue!",Escalation
"If the Director of Operations does not resolve a critical event within 10 minutes, the event escalates to a Customer Satisfaction Representative.",Escalation
"If the Customer Satisfaction Representative does not resolve a critical event within 10 minutes, the event escalates to the Director of Customer Service.",Escalation
"If the Director of Customer Service does not resolve a critical event within 15 minutes, the event escalates to a Tier-3 Support Engineer.",Escalation
"If the Tier-3 Support Engineer does not resolve a critical event within 15 minutes, the event escalates to the Chief Engineer.",Escalation
"If the Chief Engineer does not resolve a critical event within 30 minutes, the event escalates to the Director of Implementation.",Escalation
"If the Director of Implementation does not resolve a critical event within 30 minutes, the event escalates to the Vice President of Service Delivery.",Escalation
"A subcontractor is having trouble delivering the product or completing work, we shall reach out to his manager in finding out the impediments caused by subcontractor.",Escalation
"Despite several reminders, nothing has happened,Consider this thing to report the same to the next level. ",Escalation
A stakeholder is deliberately sabotaging or blocking your project. Report this behavior to next level who are responsible for the release.,Escalation
"A team member is not providing work in there expected quality, either due to lack of experience or lack of motivation. Who is the manager of this team ?",Escalation
The issue is causing significant extra work on your side or on the side of your team members. This has to be reported to the head of the team.,Escalation
"So far the BAU team has not been able to meet the quality and technically criteria for the product, into situation is putting a project at risk.",Escalation
This is the second time in two years I have to write to nodal officer. I am sorry to say but the service quality of your company is deteriorating day by day. They have forgotten the meaning of commitment.,Escalation
"Client says  delay of the delivery Will lead to a postponement of the go live and additional cost off at least $12,000 because we have to extend the contract for our existing System and this has to be escalated to the manager.",Escalation
"Each year the price of the product has steadily risen, first from $9 per unit to $12 in 2012 and then again in 2013 to $14 per unit.  This again leads to customer dissatisfactrion and company had decide or reach out to manager reporting the same.",Escalation
The issue had not been settling since days where discussions are on the same stage arguing on the same point. We have decided to escalate this issue.,Escalation
"Certain project stakeholder is not willing to or is not able to do a certain activity he or she is responsible for, it is necessary to escalate the issue to the superior for resolution.",Escalation
"We need to escalate the same to Harish as Poor incident escalation strategies often result in inaction, whereby employees are stuck waiting for authorizations. ",Escalation
"If an incident cannot be resolved at the first point of contact  namely the Service Desk, then  passed to a second level support for resolution",Escalation
"The Incident was not resolved within a pre-determined period,  the maximum resolution times agreed within the SLAs, now the time we need to reach to next level of management",Escalation
The appropriate IT managers must be notified to escalate this issue they can anticipate and prepare for a solution.,Escalation
"When an incident is escalated, should continue up the management chain.Senior managers are notified of the situation here to take any necessary actions.",Escalation
I don't think you are sure of the project. Who is your manager. Please escalate my concerns.,Escalation
It may escalate into violence causing damage or injury.,Escalation
A low promotional rate are going to quickly expire and the card's rate are going to escalate.,Escalation
This will further aggravate tension and escalate violence in the region.,Escalation
Business class prices will increase and the battle for your travel dollar will escalate.,Escalation
"When the current customer service agent simply can’t solve the problem, escalation management comes into play.",Escalation
"Reply to the customer within a certain timeframe, as this is an escalated issue",Escalation
Why don't you let your senior handle the ticket? Please initiate this action quickly.,Escalation
